year,M,F
1880,118400,97605
1881,108285,98858
1882,122032,115698
1883,112481,120066
1884,122741,137589
1885,115948,141951
1886,119043,153737
1887,109314,155423
1888,129911,189452
1889,119039,189218
1890,119701,201663
1891,109271,196569
1892,131457,224921
1893,121042,225235
1894,124899,235972
1895,126646,247111
1896,129078,251997
1897,121944,248277
1898,132111,274149
1899,115198,247491
1900,162162,317801
1901,115599,254235
1902,132750,280338
1903,129327,278200
1904,138510,292439
1905,143244,309876
1906,144073,313439
1907,158591,337434
1908,166372,354522
1909,176861,368084
1910,208521,419507
1911,241385,441787
1912,451437,586621
1913,536206,654831
1914,683313,796546
1915,880954,1023886
1916,923277,1085681
1917,959328,1123646
1918,1048768,1202340
1919,1015341,1174670
1920,1100942,1244029
1921,1137907,1279610
1922,1125365,1247453
1923,1132308,1252358
1924,1169006,1295651
1925,1151345,1262991
1926,1145439,1229940
1927,1161550,1236252
1928,1140859,1195235
1929,1107135,1157346
1930,1129133,1166195
1931,1069002,1103355
1932,1074007,1106115
1933,1019618,1045724
1934,1061414,1082062
1935,1069116,1086570
1936,1063939,1077347
1937,1093181,1101639
1938,1136017,1141243
1939,1132918,1133892
1940,1185782,1181150
1941,1254370,1245732
1942,1407886,1390322
1943,1454005,1435112
1944,1388695,1366340
1945,1371188,1346081
1946,1649987,1612742
1947,1857367,1817807
1948,1781498,1742194
1949,1799859,1754948
1950,1819748,1758975
1951,1907704,1845357
1952,1973020,1902114
1953,1999129,1928402
1954,2067539,1990679
1955,2088381,2004284
1956,2144425,2059303
1957,2187458,2097371
1958,2152780,2064857
1959,2166316,2078366
1960,2166079,2079918
1961,2155525,2075842
1962,2102232,2026875
1963,2065359,1987763
1964,2027400,1956919
1965,1895616,1827197
1966,1818007,1755394
1967,1779994,1716483
1968,1776299,1709337
1969,1830496,1762596
1970,1905748,1831747
1971,1818291,1752149
1972,1674692,1612445
1973,1614017,1553905
1974,1630640,1566011
1975,1622855,1560511
1976,1632972,1571728
1977,1709459,1644621
1978,1708405,1643456
1979,1791054,1722756
1980,1853943,1779754
1981,1861282,1787568
1982,1885862,1813235
1983,1862041,1788697
1984,1874997,1802140
1985,1922708,1845172
1986,1919901,1844302
1987,1948632,1873265
1988,2000300,1921740
1989,2095053,1991689
1990,2150512,2053328
1991,2118765,2032831
1992,2098038,2003866
1993,2064391,1970631
1994,2037282,1948470
1995,2010257,1920637
1996,2002567,1916254
1997,1996558,1908115
1998,2026312,1937268
1999,2037506,1945478
2000,2086519,1994069
2001,2066558,1979101
2002,2064714,1973055
2003,2099064,2004394
2004,2111002,2015376
2005,2124586,2026691
2006,2189054,2087244
2007,2211153,2112696
2008,2175668,2078299
2009,2115396,2019582
2010,2047601,1953878
2011,2021996,1928706
2012,2009637,1921563
